# number of receivers
595
# name (9 chars), lat, lon, "1/weight" (unused in cSEM)
_GTS.LBTB  -25.015   25.597 0.00
_GSN._LCO  -29.011  -70.701 0.00
Mala._LDM    5.178  118.498 0.00
TERR._LGU   34.108 -119.066 0.00
Aust._LHI  -31.520  159.061 0.00
GEOF.LHMI    5.229   96.947 0.00
Cana.LLLB   50.609 -121.882 0.00
Cana._LMN   45.852  -64.806 0.00
Cana._LMQ   47.549  -70.326 0.00
GEOF.LODK    3.422   35.362 0.00
Glob.LPAZ  -16.288  -68.131 0.00
_GTS.LPAZ  -16.288  -68.131 0.00
ANSS.LRAL   33.035  -86.998 0.00
__GB._LRW   60.136   -1.178 0.00
IRIS._LSA   29.700   91.150 0.00
_NCD._LSA   29.700   91.150 0.00
_GSN._LSZ  -15.278   28.188 0.00
ANSS._LTX   29.334 -103.667 0.00
GEOF.LUWI   -1.042  122.772 0.00
_GSN._LVC  -22.613  -68.911 0.00
GEOF._LVC  -22.618  -68.911 0.00
_GSN._LVZ   67.898   34.651 0.00
Chin._LYN   34.550  112.470 0.00
_CDS._LZH   36.087  103.844 0.00
_GSN._MA2   59.576  150.770 0.00
GEOF.MAHO   39.896    4.266 0.00
IRIS.MAJO   36.542  138.207 0.00
_GSN.MAKZ   46.808   81.977 0.00
GEOF.MALT   38.313   38.427 0.00
Aust.MANU   -2.043  147.366 0.00
SISM._MAT  -14.870 -148.712 0.00
GEOF.MAUI   20.767 -156.245 0.00
Afri.MAUS   -2.741   36.704 0.00
Aust._MAW  -67.604   62.871 0.00
_GSN.MBAR   -0.602   30.738 0.00
GEOS._MBO   14.391  -16.955 0.00
_GSN.MBWA  -21.159  119.731 0.00
Aust._MCQ  -54.499  158.956 0.00
Ocea.MCSJ   24.290  153.978 0.00
_CDS._MDJ   44.616  129.592 0.00
_NCD._MDJ   44.616  129.592 0.00
POLE.MECK  -75.281  -72.185 0.00
Cana.MEDA   49.981 -110.742 0.00
Aust.MEEK  -26.638  118.614 0.00
GEOF.MELI   35.290   -2.939 0.00
GEOF._MHV   54.959   37.766 0.00
ANSS.MIAR   34.545  -93.576 0.00
West._MID   59.428 -146.339 0.00
_GSN.MIDW   28.216 -177.370 0.00
POLE.MILR  -83.306  156.252 0.00
__CI.MLAC   37.630 -118.836 0.00
Calt.MLAC   37.631 -118.834 0.00
GEOF._MLR   45.491   25.946 0.00
GEOF.MMRI   -8.636  122.238 0.00
GEOF.MNAI   -4.360  102.956 0.00
Plat.MNMC  -19.131  -69.596 0.00
ANSS.MNTX   31.698 -105.382 0.00
GEOF.MORC   49.777   17.543 0.00
GEOS._MPG    5.110  -52.644 0.00
TERR._MPM   36.058 -117.489 0.00
GEOF.MRNI   33.118   35.392 0.00
CAIG.MRZ1   42.225   79.860 0.00
_GSN.MSEY   -4.674   55.479 0.00
_GSN.MSKU   -1.656   13.612 0.00
ANSS._MSO   46.829 -113.941 0.00
_GSN.MSVF  -17.733  178.050 0.00
IRIS.MSVF  -17.733  178.050 0.00
_GSN.MTDJ   18.226  -77.535 0.00
GEOF._MTE   40.400   -7.544 0.00
Aust._MTN  -12.844  131.133 0.00
Inst.MTOR   28.495   -9.849 0.00
Esto.MTSE   58.714   23.815 0.00
ANSS.MVCO   37.210 -108.499 0.00
TERR._MWC   34.224 -118.053 0.00
Pass.N124  -82.074  107.643 0.00
Pass.N132  -82.075  101.956 0.00
_GSN._NAI   -1.274   36.804 0.00
_CTS._NAQ   32.250   92.250 0.00
Calt._NEE   34.823 -114.596 0.00
ANSS._NEW   48.264 -117.123 0.00
Aust._NFK  -29.043  167.939 0.00
_GSN._NIL   33.651   73.269 0.00
IRIS._NIL   33.650   73.251 0.00
Aust.NIUE  -19.076 -169.927 0.00
Chin._NJ2   32.052  118.854 0.00
ANSS.NLWA   47.392 -123.869 0.00
Free._NMR   43.367  145.738 0.00
_GSN._NNA  -11.988  -76.842 0.00
IRIS._NNA  -11.988  -76.842 0.00
GLIS._NOR   81.605  -16.661 0.00
GEOS.NOUC  -22.101  166.303 0.00
_GSN.NRIL   69.505   88.441 0.00
GLIS._NRS   61.160  -45.419 0.00
Free._NSK   34.340  132.002 0.00
GLIS.NUUK   64.184  -51.668 0.00
_GSN.NWAO  -32.927  117.233 0.00
_GSN._OBN   55.114   36.569 0.00
ANSS.OGNE   40.945 -102.033 0.00
Free._ONS   36.156  138.982 0.00
__CI._OSI   34.614 -118.724 0.00
Calt._OSI   34.614 -118.724 0.00
Free._OSW   27.098  142.196 0.00
_GSN.OTAV    0.238  -78.451 0.00
Nort._OUL   65.085   25.896 0.00
_New._OUZ  -35.222  173.596 0.00
ANSS._OXF   34.512  -89.409 0.00
AGAP.P061  -84.500   77.224 0.00
_GSN._PAB   39.546   -4.348 0.00
GEOS._PAF  -49.351   70.213 0.00
_GSN.PALK    7.273   80.702 0.00
Pass._PAN   59.095  159.968 0.00
_GSN._PAS   34.148 -118.172 0.00
Calt._PAS   34.148 -118.172 0.00
Ocea.PATS    6.837  158.315 0.00
_GSN.PAYG   -0.674  -90.286 0.00
Plat.PB04  -22.334  -70.149 0.00
Plat.PB14  -24.625  -70.404 0.00
POLE.PECA  -85.612  -68.553 0.00
GEOS._PEL  -33.146  -70.675 0.00
_GSN._PET   53.023  158.650 0.00
_GSN._PFO   33.609 -116.455 0.00
Calt._PFO   33.609 -116.455 0.00
TERR._PHL   35.408 -120.546 0.00
ANSS.PKME   45.264  -69.292 0.00
GEOF.PLAI   -8.828  117.776 0.00
Glob.PLCA  -40.733  -70.551 0.00
_GTS.PLCA  -40.733  -70.551 0.00
TERR._PLM   33.354 -116.863 0.00
GEOF.PMBI   -2.902  104.699 0.00
_GSN._PMG   -9.409  147.154 0.00
GEOF._PMG   -9.409  147.154 0.00
Port.PMOZ   32.794  -17.114 0.00
West._PMR   61.592 -149.131 0.00
_GSN.PMSA  -64.774  -64.049 0.00
_GSN.POHA   19.757 -155.533 0.00
GEOS._PPT  -17.569 -149.576 0.00
ARCT._PRB   70.204 -148.446 0.00
Ocea._PSI    2.694   98.924 0.00
GEOF._PSZ   47.918   19.894 0.00
_GSN.PTCN  -25.071 -130.095 0.00
_GSN.PTGA   -0.731  -59.967 0.00
GEOF._PUL   59.767   30.317 0.00
GEOS._PVC  -17.740  168.312 0.00
Aust._QIS  -20.558  139.605 0.00
_CDS._QIZ   19.029  109.843 0.00
_NCD._QIZ   19.029  109.843 0.00
Aust._QLP  -26.584  144.237 0.00
_GSN.QSPA  -89.928  145.000 0.00
Aust.RABL   -4.191  152.164 0.00
SISM._RAI  -23.868 -147.353 0.00
_GSN.RAIO   46.040 -122.885 0.00
SISM._RAP  -27.618 -144.335 0.00
_GSN._RAR  -21.212 -159.773 0.00
_GSN.RAYN   23.522   45.503 0.00
_GSN.RCBR   -5.827  -35.901 0.00
SISM._REA  -18.464 -136.444 0.00
GEOS._RER  -21.159   55.746 0.00
Cana._RES   74.689  -94.896 0.00
GEOF._RGN   54.548   13.321 0.00
GEOF.RIOB  -10.150  -67.747 0.00
Sout.RIS1  -78.128 -178.497 0.00
GEOS.RODM  -19.696   63.441 0.00
_GSN._RPN  -27.127 -109.334 0.00
Calt._RPV   33.744 -118.404 0.00
_New._RPZ  -43.716  171.054 0.00
Broa.RSDY   40.397   37.327 0.00
_GSN.RSSD   44.120 -104.036 0.00
MEDN._RTC   33.988   -6.857 0.00
GEOF._RUE   52.476   13.780 0.00
_GSN.SACV   14.970  -23.608 0.00
Cana.SADO   44.769  -79.142 0.00
_GSN.SAML   -8.949  -63.183 0.00
GEOF.SANT   36.371   25.459 0.00
GEOS.SANV  -15.447  167.203 0.00
GEOF.SAUI   -7.983  131.299 0.00
_GSN._SBA  -77.849  166.757 0.00
Glob._SBA  -77.849  166.757 0.00
_GTS._SBA  -77.849  166.757 0.00
Calt._SBC   34.442 -119.713 0.00
TERR._SBC   34.441 -119.715 0.00
GEOF._SBV  -13.458   49.921 0.00
Cana.SCHQ   54.832  -66.833 0.00
GLIS._SCO   70.483  -21.950 0.00
GEOS._SCZ   36.598 -121.403 0.00
TERR._SDD   33.553 -117.662 0.00
_GSN.SDDR   18.982  -71.288 0.00
West.SDPT   55.349 -160.477 0.00
_GSN._SDV    8.884  -70.634 0.00
Cana.SEDN   63.250  -91.208 0.00
GEOF.SELV   37.238   -3.728 0.00
GEOS._SEY   62.933  152.373 0.00
_GSN._SFJ   66.997  -50.616 0.00
GEOF._SFJ   66.997  -50.616 0.00
_GSN.SFJD   66.996  -50.621 0.00
GEOF._SFS   36.466   -6.206 0.00
GEOF.SFUC   36.637   -6.175 0.00
_GSN.SHEL  -15.959   -5.746 0.00
POLE.SILY  -77.133 -125.966 0.00
POLE.SIPL  -81.641 -148.956 0.00
_GSN._SJG   18.112  -66.150 0.00
West.SKAG   59.460 -135.329 0.00
GEOF._SKD   35.412   23.928 0.00
TERR._SLA   35.891 -117.283 0.00
_GSN.SLBS   23.686 -109.944 0.00
Cana.SLEB   51.167 -118.133 0.00
Cana.SMLN   68.594  -91.936 0.00
Cana.SMPN   68.211 -126.654 0.00
Calt.SMTC   32.949 -115.720 0.00
West._SMY   52.731  174.103 0.00
GEOF.SNAA  -71.671   -2.838 0.00
__CI.SNCC   33.248 -119.524 0.00
Calt.SNCC   33.248 -119.524 0.00
Cana.SNKN   56.536  -79.232 0.00
Chin._SNY   41.828  123.578 0.00
_GSN.SNZO  -41.310  174.705 0.00
GEOF.SOCY   12.520   53.987 0.00
GEOF.SOEI   -9.755  124.267 0.00
_GSN._SPA  -90.000    0.000 0.00
GEOS._SPB  -23.592  -47.432 0.00
Alas.SPIA   57.178 -170.245 0.00
GEOS._SSB   45.279    4.542 0.00
GEOS.SSB2   45.279    4.542 0.00
GEOS.SSB3   45.279    4.542 0.00
_CDS._SSE   31.096  121.187 0.00
IRIS._SSE   31.095  121.186 0.00
_NCD._SSE   31.095  121.186 0.00
_GSN.SSPA   40.640  -77.891 0.00
Aust.STKA  -31.877  141.595 0.00
GEOF._STU   48.772    9.195 0.00
GEOF.SUMG   72.576  -38.454 0.00
_GSN._SUR  -32.380   20.812 0.00
GEOF._SUW   54.013   23.181 0.00
Calt._SVD   34.104 -117.097 0.00
TERR._SVD   34.106 -117.098 0.00
Ocea._SYO  -69.007   39.585 0.00
SISM._TAK  -14.474 -145.037 0.00
GEOS._TAM   22.791    5.527 0.00
_GSN.TARA    1.355  172.923 0.00
Tuni.TATN   32.579   10.529 0.00
_GSN.TATO   24.975  121.488 0.00
_GSN._TAU  -42.910  147.320 0.00
_GSN._TBT   28.679  -17.914 0.00
_GSN.TEIG   20.226  -88.277 0.00
Tuni.THTN   35.562    8.688 0.00
Chin._TIA   36.210  117.124 0.00
TERR._TIN   37.054 -118.230 0.00
MEDN._TIP   39.179   16.758 0.00
MEDN._TIR   41.347   19.863 0.00
GEOF.TIRR   44.458   28.413 0.00
_GSN.TIXI   71.649  128.867 0.00
Pass._TKI   60.446  166.149 0.00
_GSN._TLY   51.681  103.644 0.00
_CTS._TNC   25.029   98.520 0.00
GEOF.TNTI    0.772  127.367 0.00
Aust._TOO  -37.571  145.491 0.00
TERR._TOV   34.156 -118.819 0.00
MEDN._TRI   45.709   13.764 0.00
GEOS.TRIS  -37.068  -12.315 0.00
__MC.TRNT   16.764  -62.163 0.00
_GSN.TRQA  -38.057  -61.979 0.00
GEOF.TRTE   58.379   26.721 0.00
_GSN.TSUM  -19.202   17.584 0.00
_GSN._TUC   32.310 -110.785 0.00
MEDN._TUE   46.472    9.347 0.00
GLIS.TULE   76.537  -68.824 0.00
GEOF._UGM   -7.912  110.523 0.00
Cana._ULM   50.250  -95.875 0.00
_GSN._ULN   47.865  107.053 0.00
GEOS._UNM   19.329  -99.178 0.00
_GSN.UOSS   24.945   56.204 0.00
